id,uir_adr_ADRESA_KOD,addr_postcode,addr_conscriptionnumber,addr_streetnumber,addr_street,addr_housenumber,lat,lon,id_cons,addr_conscription,wd_cons
296458964,21726248,11000,977,14,Masná,977/14,50.0890171,14.4247408,428812,Staré Město,Q748211
296458999,21721866,11000,581,3,Havířská,581/3,50.0855884,14.4241479,428812,Staré Město,Q748211
296459020,21717320,11000,245,8,Řetězová,245/8,50.0853324,14.4173615,428812,Staré Město,Q748211
296460457,21720436,11000,479,25,Staroměstské náměstí,479/25,50.0866238,14.420873,428812,Staré Město,Q748211
296462165,21718610,11000,339,1,Karoliny Světlé,339/1,50.0817914,14.4161162,428812,Staré Město,Q748211
296462667,21725781,11000,932,6,Staroměstské náměstí,932/6,50.0882243,14.4211157,428812,Staré Město,Q748211
296462937,21717486,11000,258,10,Betlémské náměstí,258/10,50.0839344,14.4171528,428812,Staré Město,Q748211
296463097,21722706,11000,639,1,Týn,639/1,50.0880912,14.4233533,428812,Staré Město,Q748211
296463374,21717028,11000,223,26,Karlova,223/26,50.0859462,14.4172325,428812,Staré Město,Q748211
296463507,21715211,11000,59,3,Veleslavínova,59/3,50.0879602,14.415981,428812,Staré Město,Q748211
296463555,21722552,11000,628,2,Týnská ulička,628/2,50.0881113,14.4226069,428812,Staré Město,Q748211
296463618,21716030,11000,150,40,Karlova,150/40,50.0860374,14.4183532,428812,Staré Město,Q748211
296463756,21719446,11000,399,24,Rytířská,399/24,50.0855744,14.4234878,428812,Staré Město,Q748211
296463999,21716188,11000,160,15,Karlova,160/15,50.0861418,14.4176871,428812,Staré Město,Q748211
296464045,21725632,11000,922,7,Dlouhá,922/7,50.0894173,14.4221866,428812,Staré Město,Q748211
296464220,21725322,11000,869,12,Bílkova,869/12,50.0910195,14.4210116,428812,Staré Město,Q748211
296464257,21718466,11000,324,10,Smetanovo nábřeží,324/10,50.0837353,14.4134716,428812,Staré Město,Q748211
296464324,21721726,11000,565,26,Celetná,565/26,50.0871035,14.4247667,428812,Staré Město,Q748211
296464747,21715513,11000,89,11,Platnéřská,89/11,50.0873054,14.415966,428812,Staré Město,Q748211
296465288,21726302,11000,988,31,Na příkopě,988/31,50.0866032,14.4269461,428812,Staré Město,Q748211
296465470,21722404,11000,617,4,Masná,617/4,50.0892186,14.4234281,428812,Staré Město,Q748211
296465918,21726990,11000,1053,12,Masná,1053/12,50.0889356,14.4240247,428812,Staré Město,Q748211
296465942,21724351,11000,764,8,Hradební,764/8,50.0914518,14.4272009,428812,Staré Město,Q748211
296466237,21723826,11000,730,35,Dlouhá,730/35,50.0907529,14.4262603,428812,Staré Město,Q748211
296466353,21715360,11000,79,1,náměstí Jana Palacha,79/1,50.0895251,14.4153076,428812,Staré Město,Q748211
296466415,21719292,11000,390,4,Provaznická,390/4,50.0847866,14.4236,428812,Staré Město,Q748211
296466560,21719594,11000,412,2,Rytířská,412/2,50.0838853,14.4209413,428812,Staré Město,Q748211
296466758,21723672,11000,723,16,Benediktská,723/16,50.0905052,14.4273005,428812,Staré Město,Q748211
296466846,21721416,11000,543,6,Kamzíková,543/6,50.0865707,14.4229078,428812,Staré Město,Q748211
296466977,21726451,11000,1009,10,Divadelní,1009/10,50.081792,14.4139721,428812,Staré Město,Q748211
296467397,21719896,11000,436,19,Michalská,436/19,50.0856612,14.4198443,428812,Staré Město,Q748211
296467427,21720720,11000,503,4,Melantrichova,503/4,50.0854097,14.4213086,428812,Staré Město,Q748211
296467824,21724041,11000,743,2,Kozí,743/2,50.0897602,14.4226775,428812,Staré Město,Q748211
296467853,21727449,11000,1086,14,Králodvorská,1086/14,50.0886038,14.4273256,428812,Staré Město,Q748211
296467897,21720428,11000,478,26,Staroměstské náměstí,478/26,50.0865446,14.4207657,428812,Staré Město,Q748211
296467954,21724504,11000,772,21,Revoluční,772/21,50.0918326,14.427327,428812,Staré Město,Q748211
296468559,21718318,11000,317,15,Karoliny Světlé,317/15,50.0824777,14.4146435,428812,Staré Město,Q748211
296468734,21722251,11000,605,1,Týnská,605/1,50.0878195,14.4221907,428812,Staré Město,Q748211
296469294,21727295,11000,1077,16,Haštalská,1077/16,50.0909557,14.4248565,428812,Staré Město,Q748211
