id,geom,addr_postcode,addr_conscriptionnumber,addr_streetnumber,addr_street,addr_housenumber,id_cons,addr_conscription,wd_cons
node_296561212,POINT(14.3974479 50.0880777),11800,319,3,Jánská,319/3,relation_433401,Malá Strana,Q753289
node_296550981,POINT(14.4056136 50.0874951),11800,44,22,Mostecká,44/22,relation_433401,Malá Strana,Q753289
node_296540907,POINT(14.3982563 50.0881001),11800,240,2,Šporkova,240/2,relation_433401,Malá Strana,Q753289
node_296521353,POINT(14.4057638 50.0845837),11800,461,4,Nebovidská,461/4,relation_433401,Malá Strana,Q753289
node_296512689,POINT(14.4077012 50.0814358),11800,558,2,Vítězná,558/2,relation_433401,Malá Strana,Q753289
node_296564456,POINT(14.4012424 50.0875521),11800,302,20,Tržiště,302/20,relation_433401,Malá Strana,Q753289
node_296510634,POINT(14.4046143 50.0829410),11800,430,38,Újezd,430/38,relation_433401,Malá Strana,Q753289
node_296521494,POINT(14.4068065 50.0876553),11800,61,5,Dražického náměstí,61/5,relation_433401,Malá Strana,Q753289
node_296510145,POINT(14.4095064 50.0897371),11800,119,21,U lužického semináře,119/21,relation_433401,Malá Strana,Q753289
node_296560786,POINT(14.4040711 50.0865959),11800,376,20,Karmelitská,376/20,relation_433401,Malá Strana,Q753289
node_296568510,POINT(14.4037808 50.0899919),11800,172,11,Sněmovní,172/11,relation_433401,Malá Strana,Q753289
node_296528676,POINT(14.3973846 50.0884786),11800,234,45,Nerudova,234/45,relation_433401,Malá Strana,Q753289
node_296539419,POINT(14.4034964 50.0871712),11800,301,2,Tržiště,301/2,relation_433401,Malá Strana,Q753289
node_296550330,POINT(14.4075906 50.0819524),11800,563,1,Říční,563/1,relation_433401,Malá Strana,Q753289
node_296532976,POINT(14.4046217 50.0844211),11800,388,10,Hellichova,388/10,relation_433401,Malá Strana,Q753289
node_296560826,POINT(14.4037758 50.0841555),11800,395,9,Hellichova,395/9,relation_433401,Malá Strana,Q753289
node_296550399,POINT(14.4114693 50.0905192),11800,127,4,U Železné lávky,127/4,relation_433401,Malá Strana,Q753289
node_296551298,POINT(14.4068536 50.0814424),11800,550,1,Všehrdova,550/1,relation_433401,Malá Strana,Q753289
node_296516501,POINT(14.4020001 50.0892168),11800,183,18,Thunovská,183/18,relation_433401,Malá Strana,Q753289
node_296521260,POINT(14.4055683 50.0818457),11800,532,11,Říční,532/11,relation_433401,Malá Strana,Q753289
node_296538214,POINT(14.3995162 50.0871812),11800,591,13,Vlašská,591/13,relation_433401,Malá Strana,Q753289
node_296519145,POINT(14.3955657 50.0861317),11800,345,23,Vlašská,345/23,relation_433401,Malá Strana,Q753289
node_296568456,POINT(14.4046354 50.0885690),11800,518,20,Malostranské náměstí,518/20,relation_433401,Malá Strana,Q753289
node_296538919,POINT(14.4045798 50.0890281),11800,10,2,Thunovská,10/2,relation_433401,Malá Strana,Q753289
node_296543335,POINT(14.3970951 50.0868937),11800,346,21,Vlašská,346/21,relation_433401,Malá Strana,Q753289
node_296548859,POINT(14.4086511 50.0877372),11800,92,15,U lužického semináře,92/15,relation_433401,Malá Strana,Q753289
node_296559842,POINT(14.4080617 50.0864052),11800,492,8,Hroznová,492/8,relation_433401,Malá Strana,Q753289
node_296569198,POINT(14.4017581 50.0890127),11800,200,11,Thunovská,200/11,relation_433401,Malá Strana,Q753289
node_296530012,POINT(14.4045093 50.0865259),11800,625,3,Prokopská,625/3,relation_433401,Malá Strana,Q753289
node_296522642,POINT(14.4057847 50.0857133),11800,472,16,Maltézské náměstí,472/16,relation_433401,Malá Strana,Q753289
node_296519252,POINT(14.4043517 50.0858130),11800,383,12,Karmelitská,383/12,relation_433401,Malá Strana,Q753289
node_296538915,POINT(14.4027117 50.0876753),11800,261,10,Malostranské náměstí,261/10,relation_433401,Malá Strana,Q753289
